OBJECTID,Facility Identifier,Name of Facility,Subtype Field,Feature Code,Full Address,Operational Days,Operational Hours,Size of Park,Website,Number of Parking Spaces,Restrooms Available,ADA Compliant,Camping Available,Swimming Available,Hiking Available,Fishing Available,Picnicing Available,Boating Available,Hunting Available,Cycling Available,MTB Available,Playgrounds Available,Golf Available,Skiing Available,Soccer Fields Available,Baseball Fields Available,Basketball Courts Available,Junior Pools,Tennis Court Available,Lighted Tennis Court Available,Water Playground Available,Splash Pad Available,Dog Park Location,Disc Golf Available,Drinking Fountains Available,Basketball Half Court Available,Outdoor Fitness Available,Skatepark Available,Sand Volleyball Court,Recreation Center Available,Labyrinth,Toddler Park,Streams,Owner Type,x,y
46,Dre-187,Dream Keepers,790,Park,1875 S BOULDER PARK DR,Sun-Sat,Daylight,15,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2562747.34634949,419425.017072849
47,Woo-780,Woodland View II,790,Park,7802 E 57TH ST S,Sun-Sat,Daylight,4.99,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2594322.9528996,399799.485047743
48,Fla-150,Flat Rock Creek,790,Park,1501 E 36TH ST N,Sun-Sat,Daylight,210.63,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2566921.39517001,447611.04173743
49,Hai-750,Haikey Creek,790,Park,7500 S 103RD E AVE,Sun-Sat,Daylight,31.6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2599209.75127887,391243.264053263
50,Hel-730,Helmerich,790,Park,7301 S RIVERSIDE DR,Sun-Sat,Daylight,78,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,Municipal,2567505.21002929,390274.011562638
51,Sha-109,Shannon II,790,Park,10902 E 39TH PL,Sun-Sat,Daylight,4.89,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2602524.74833981,409845.655490138
52,Moh-522,Mohawk Golf Course,790,Park,5223 E 41ST ST N,Sun-Sat,Daylight,312,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2582595.9094246,448386.113185972
53,Cha-600,Chapman Green,790,Park,600 S MAIN ST,Sun-Sat,Daylight,2,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2562236.45539293,424944.254722014
54,Lan-470,Langenheim,790,Park,4701 S HARVARD AVE,Sun-Sat,Daylight,7.74,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,Municipal,2577104.71141751,405109.652002849
55,Joe-172,Joe Station Bark Park,790,Park,1723 CHARLES PAGE BLVD,Sun-Sat,Daylight,4,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,Municipal,2554340.1096371,425055.66895128
56,Arc-283,Archer,790,Park,2831 E ARCHER ST,Sun-Sat,Daylight,4.8,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Municipal,2574521.63259418,429647.744330764
57,Ken-264,Kendall-Whittier,790,Park,2645 E 5TH ST S,Sun-Sat,Daylight,13.75,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2572898.0449621,426013.202305242
58,Nor-323,Norberg,790,Park,3235 S GARNETT RD,Sun-Sat,Daylight,16.36,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Yes,No,No,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,Municipal,2603215.00040418,413184.411115766
59,Cow-109,Cowan,790,Park,10901 E 19TH ST,Sun-Sat,Daylight,4.87,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2601920.68253678,420375.999012746
60,Hil-210,Hill,790,Park,210 E LATIMER PL,Sun-Sat,Daylight,5.05,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Municipal,2560939.93075502,431896.180204615
61,Lub-290,Lubell,790,Park,2909 W 56TH ST S,Sun-Sat,Daylight,16,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Municipal,2552052.72986147,401181.995406076
62,Min-740,Minshall,790,Park,7404 S KINGSTON AVE,Sun-Sat,Daylight,31,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2586519.75656376,391607.455418058
63,Qui-107,Quik Trip,790,Park,10750 E 61ST ST,Sun-Sat,Daylight,7.2,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2602158.72134877,398175.885932744
64,Ske-852,Skelly,790,Park,8525 E 23RD PL S,Sun-Sat,Daylight,4.94,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2593910.14696668,418047.937723994
65,Tor-105,Torchia-Oliver,790,Park,10519 S DELAWARE AVE,Sun-Sat,Daylight,46,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2576203.67319335,374060.187363058
66,Whi-400,Whiteside,790,Park,4009 S PITTSBURG AVE,Sun-Sat,Daylight,19.09,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/whiteside-community-center,0,Yes,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,Yes,No,No,No,Yes,Yes,No,No,No,Yes,No,Yes,No,Yes,Yes,No,No,No,Municipal,2579594.93609585,408856.293131597
67,Rou-815,Route 66 Plaza,790,Park,815 S RIVERSIDE DR,Sun-Sat,Daylight,0.5,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2558051.72335887,422689.224373162
68,Gra-641,Graham,790,Park,6410 S YORKTOWN AVE,Sun-Sat,Daylight,29.95,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,Municipal,2570521.6717621,395859.781641074
69,Rod-264,Rodden,790,Park,2646 E 61ST ST N,Sun-Sat,Daylight,7,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2572513.95739366,458535.43261826
70,Aar-480,Aaronson,790,Park,4807 S 87TH E AVE,Sun-Sat,Daylight,6,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2594978.72750668,404698.38355045
71,Bul-100,Bullette,790,Park,1001 E KING ST,Sun-Sat,Daylight,1.82,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Municipal,2564866.34350585,431199.902889825
72,Cen-102,Veterans Park,790,Park,1028 E 6TH ST,Sun-Sat,Daylight,11.65,http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/central-center,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Municipal,2565083.74833678,425693.296038888
73,Lan-821,Lantz,790,Park,821 N YALE AVE,Sun-Sat,Daylight,9.24,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,Yes,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Municipal,2581700.14021876,431418.962901182
74,Flo-193,Florence,790,Park,1936 S GARY AVE,Sun-Sat,Daylight,1.25,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,Municipal,2575987.52451147,419146.14377889
76,Hen-482,Henthorne,790,Park,4825 S QUAKER AVE,Sun-Sat,Daylight,7.33,http://www.cityoftulsa.org/government/departments/park-and-recreation,0,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,Municipal,2567194.5327471,404817.836641595
