OBJECTID,Facility Identifier,Name of Facility,Subtype Field,Feature Code,Full Address,Operational Days,Operational Hours,Size of Park,Website,Number of Parking Spaces,Restrooms Available,ADA Compliant,Camping Available,Swimming Available,Hiking Available,Fishing Available,Picnicing Available,Boating Available,Hunting Available,Cycling Available,MTB Available,Playgrounds Available,Golf Available,Skiing Available,Soccer Fields Available,Baseball Fields Available,Basketball Courts Available,Junior Pools,Tennis Court Available,Lighted Tennis Court Available,Water Playground Available,Splash Pad Available,Dog Park Location,Disc Golf Available,Drinking Fountains Available,Basketball Half Court Available,Outdoor Fitness Available,Skatepark Available,Sand Volleyball Court,Recreation Center Available,Labyrinth,Toddler Park,Streams,Owner Type,x,y
165,Art-120,Arts & Sciences @ Roosevelt,790,,1202 W Easton St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2557300.03030845,427595.890248783
166,Mcc-177,McClure Elementary School,790,,1770 E 61st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2570336.74595085,397243.496475346
167,Mar-114,Marshall ,790,,1142 E 56th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2566042.9405621,400055.810404517
168,Pat-382,Patrick Henry,790,,3820 E 41st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2578368.45806981,408289.872840554
169,Wri-111,Wright,790,,1110 E 45th Pl,,,4.66,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2565740.3132146,405779.486621179
170,Eli-144,Eliot,790,,1442 E 36th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2567580.94355564,410715.246106595
171,Pen-213,Penn ,790,,2138 E 48th St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2569827.74926543,451897.470582537
172,Whi-392,Whitman,790,,3924 N Lansing Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2563704.21984585,446771.296041593
173,Mit-733,Mitchell,790,,733 N 73rd Ave E,,,6.49,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2589778.15268803,431101.332302846
174,Mck-670,McKinley,790,,6703 E King St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2587993.95678137,432429.45874764
175,Bel-630,Bell,790,,6304 E Admiral Blvd,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2586358.57455345,428728.650860555
176,Spr-251,Springdale,790,,2510 E Pine St,,,9.53,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2571792.57186137,434527.230142638
177,Uni-213,Unity Learning Academy ,790,,2137 N Pittsburg Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2579058.40624699,437975.192816906
178,Cel-174,Celia Clinton,790,,1740 N Harvard Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2575906.05936928,436086.894018054
179,Owe-113,Owen,790,,1132 N Vandalia Ave,,,23.75,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2580837.39260043,432636.570374094
180,Ham-231,Hamilton,790,,2316 N Norwood Pl,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2586181.46614783,438998.439212017
181,Tul-209,Tulsa Honor @ Bell Primary ,790,,209 S Lakewood Ave,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2585794.1018471,428358.698762536
182,Car-430,Carnegie,790,,4309 E 56th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2580391.7701321,400726.667822637
183,Hoo-232,Hoover,790,,2327 S Darlington Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2583484.39148949,417690.407271072
184,Key-570,Key,790,,5702 S Irvington Ave,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2585387.02014814,400151.836705245
185,Lan-172,Lanier,790,,1727 S Harvard Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2576736.58223252,420113.54259868
186,Cou-192,Council Oak  ,790,,1920 S Cincinnati Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2563840.41051835,419063.474160761
187,Jon-151,Jones,790,,1515 S 71st Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2589625.02225283,421807.430697121
188,Dol-106,Dolores Huerta ,790,,10620 E 27th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2600854.8000721,416343.381175764
189,Pea-108,Peary,790,,10818 E 17th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2601550.79113418,420989.771981388
190,Coo-180,Cooper,790,,1808 S 123rd Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2606080.86368491,420862.635178573
191,Lin-931,Lindbergh,790,,931 S 89th Ave E,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2595181.85128022,425105.880054928
192,Ker-202,Kerr,790,,202 S 117th Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2603837.88875814,428196.799069926
193,Seq-724,Sequoyah,790,,724 N Birmingham Ave,,,10.16,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2572180.94911939,430551.210371599
194,Rog-390,Rogers College,790,,3909 E 5th Pl,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2578428.37551887,426655.3524317
195,Web-191,Webster,790,,1919 W 40th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2554771.38666168,408612.855298266
196,Mem-584,Memorial,790,,5840 S Hudson Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2584605.20494668,399702.190704927
197,Was-151,Washington,790,,1514 E Zion St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2567240.98647637,438976.721325658
198,Edi-290,Edison Preparatory,790,,2906 E 41st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2575185.45262481,408263.268152952
199,Hal-696,Hale,790,,6960 E 21st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2589551.29454595,418867.416892119
200,Eas-121,East Central,790,,12150 E 11th St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2605812.644077,424698.416959099
201,Cli-222,Clinton West,790,,2224 W 41st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2553919.75819762,407657.146907844
202,Hal-217,Hale,790,,2177 S 67th Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2588979.65362887,418150.978036284
203,Car-624,Carver,790,,624 E Oklahoma Pl,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2563104.63197022,434154.944551907
204,Kip-166,Kipp Tulsa College Preparatory @ Woods,790,,1661 E Virgin St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2567709.02892939,437667.388724513
205,Mcl-525,Mclain Seventh Grade Academy,790,,525 E 46th St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2561875.82127168,450539.142836593
206,Mon-201,Monroe Demonstration Academy,790,,2010 E 48th St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2568975.25466137,451757.492187947
207,Eas-121,East Central,790,,12121 E 21st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2606177.91524605,419950.600011177
208,Tho-737,Thoreau Demonstration Academy,790,,7370 E 71st St,,,,,,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2591484.77780168,392683.819325037
209,Pho-344,Phoenix Rising,790,,3441 E Archer St,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2576936.83896783,429789.535385765
210,Col-252,College Bound @ Eastside,790,,2525 S 101st Ave E,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2599348.93366126,416678.171762742
211,Tul-105,Tulsa Legacy: Primary Academy @ Greeley,790,,105 E 63rd St N,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2559838.81214033,459390.759811804
212,Tul-600,Tulsa Legacy: Upper Academy @ Cherokee,790,,6001 N Peoria Ave,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2565595.23066356,457663.697977223
213,Gri-664,Grissom,790,,6646 S 73rd Ave E,,,,,,No,No,No,No,No,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2590364.40438626,394965.607330345
214,Eme-910,Emerson ,790,,910 N Martin Luther King Jr Blvd,,,,,,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,School,2560118.46914335,431006.031886496
