name,type,lat,lng,tags
Flat Rock Creek,park,36.21246912913497,-95.97131629402523,Full Address: 1501 E 36TH ST N; Operational Hours: Daylight; Size of Park: 210.63; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Haikey Creek,park,36.055758073170026,-95.8660902195815,Full Address: 7500 S 103RD E AVE; Operational Hours: Daylight; Size of Park: 31.6; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Helmerich,park,36.05496208111219,-95.97339453704818,Full Address: 7301 S RIVERSIDE DR; Operational Hours: Daylight; Size of Park: 78.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Shannon II,park,36.10664711099817,-95.85348674586561,Full Address: 10902 E 39TH PL; Operational Hours: Daylight; Size of Park: 4.89; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Mohawk Golf Course,park,36.21368634209156,-95.91813830514663,Full Address: 5223 E 41ST ST N; Operational Hours: Daylight; Size of Park: 312.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Chapman Green,park,36.15048393542744,-95.9887856095107,Full Address: 600 S MAIN ST; Operational Hours: Daylight; Size of Park: 2.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Langenheim,park,36.09515274929392,-95.93986130761586,Full Address: 4701 S HARVARD AVE; Operational Hours: Daylight; Size of Park: 7.74; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Joe Station Bark Park,park,36.151236266845245,-96.01551847144624,Full Address: 1723 CHARLES PAGE BLVD; Operational Hours: Daylight; Size of Park: 4.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Archer,park,36.16269545661366,-95.94684620451476,Full Address: 2831 E ARCHER ST; Operational Hours: Daylight; Size of Park: 4.8; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Kendall-Whittier,park,36.15280761595401,-95.95260481352018,Full Address: 2645 E 5TH ST S; Operational Hours: Daylight; Size of Park: 13.75; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Norberg,park,36.11577469818132,-95.8509004560612,Full Address: 3235 S GARNETT RD; Operational Hours: Daylight; Size of Park: 16.36; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Cowan,park,36.13560420488409,-95.8547435516945,Full Address: 10901 E 19TH ST; Operational Hours: Daylight; Size of Park: 4.87; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Hill,park,36.169650787680986,-95.99268939046101,Full Address: 210 E LATIMER PL; Operational Hours: Daylight; Size of Park: 5.05; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Lubell,park,36.08579558996213,-96.02490961013191,Full Address: 2909 W 56TH ST S; Operational Hours: Daylight; Size of Park: 16.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Minshall,park,36.05751674992809,-95.90898508580447,Full Address: 7404 S KINGSTON AVE; Operational Hours: Daylight; Size of Park: 31.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Quik Trip,park,36.0746194540103,-95.85559804309037,Full Address: 10750 E 61ST ST; Operational Hours: Daylight; Size of Park: 7.2; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Skelly,park,36.129693536457985,-95.88203688816613,Full Address: 8525 E 23RD PL S; Operational Hours: Daylight; Size of Park: 4.94; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Torchia-Oliver,park,36.00992878405009,-95.9451346361388,Full Address: 10519 S DELAWARE AVE; Operational Hours: Daylight; Size of Park: 46.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Whiteside,park,36.10529724882386,-95.93116415133082,Full Address: 4009 S PITTSBURG AVE; Operational Hours: Daylight; Size of Park: 19.09; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/whiteside-community-center; Playgrounds Available: Yes; Water Playground Available: Yes
Route 66 Plaza,park,36.144527850844185,-96.00311404529783,Full Address: 815 S RIVERSIDE DR; Operational Hours: Daylight; Size of Park: 0.5; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Graham,park,36.07012988396465,-95.96279544392895,Full Address: 6410 S YORKTOWN AVE; Operational Hours: Daylight; Size of Park: 29.95; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Rodden,park,36.24214937998853,-95.95158143766639,Full Address: 2646 E 61ST ST N; Operational Hours: Daylight; Size of Park: 7.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Aaronson,park,36.092966120828414,-95.87940655469556,Full Address: 4807 S 87TH E AVE; Operational Hours: Daylight; Size of Park: 6.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Bullette,park,36.16751477384151,-95.97943874812098,Full Address: 1001 E KING ST; Operational Hours: Daylight; Size of Park: 1.82; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Veterans Park,park,36.15237873489682,-95.97909066350998,Full Address: 1028 E 6TH ST; Operational Hours: Daylight; Size of Park: 11.65; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation/community-and-specialty-centers/central-center; Playgrounds Available: No; Water Playground Available: No
Lantz,park,36.16714049307577,-95.92240487638976,Full Address: 821 N YALE AVE; Operational Hours: Daylight; Size of Park: 9.24; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Florence,park,36.13376827744218,-95.94263517598773,Full Address: 1936 S GARY AVE; Operational Hours: Daylight; Size of Park: 1.25; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Henthorne,park,36.094924220125115,-95.97341837534994,Full Address: 4825 S QUAKER AVE; Operational Hours: Daylight; Size of Park: 7.33; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Clark,park,36.15996972800535,-95.84686826260719,Full Address: 11440 E ADMIRAL PL; Operational Hours: Daylight; Size of Park: 13.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Crutchfield,park,36.1658614529767,-95.97324480060549,Full Address: 1345 E INDEPENDENCE AVE; Operational Hours: Daylight; Size of Park: 2.06; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Dawson,park,36.184298120611274,-95.90924292229202,Full Address: 2035 N KINGSTON PL; Operational Hours: Daylight; Size of Park: 1.41; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Lloyd,park,36.19527470086045,-95.9620145362687,Full Address: 2121 E 29TH ST N; Operational Hours: Daylight; Size of Park: 5.0; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
McClure,park,36.151484661109826,-95.88906461203182,Full Address: 7440 E 7TH ST; Operational Hours: Daylight; Size of Park: 53.44; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Maxwell,park,36.17352506781407,-95.91764103640574,Full Address: 5251 E NEWTON ST; Operational Hours: Daylight; Size of Park: 15.16; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
Mini Park I,park,36.18314688694413,-95.96158344169639,Full Address: 2118 E UTE ST; Operational Hours: Daylight; Size of Park: 0.81; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Newblock,park,36.15025253905625,-96.01190812544533,Full Address: 1710 W CHARLES PAGE BLVD; Operational Hours: Daylight; Size of Park: 84.56; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: No
Plaza of the Americas,park,36.148026019952205,-95.9928261780652,Full Address: 702 S DENVER AVE; Operational Hours: Daylight; Size of Park: 0.6; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: No; Water Playground Available: No
Schlegel,park,36.08594316719938,-96.03655787439587,Full Address: 3825 W 53RD PL S; Operational Hours: Daylight; Size of Park: 4.94; Website: http://www.cityoftulsa.org/government/departments/park-and-recreation; Playgrounds Available: Yes; Water Playground Available: Yes
